Emmet/Ivy Garage,EIG or EIG/S pass required 24/hrs,38.04182,-78.50789,1,any,0,1,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Lambeth Field Parking,S2 pass required 8AM-5PM Mon-Fri.,38.04182,-78.50456,1,S2,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Central Grounds Parking Garage-Newcomb/Brown Residential College,No pass required. Visitor parking only. Rates: 8AM-5PM Mon-Sat: $1/30 MIN; 5PM-10PM Mon-Sat: $1/HR; 8AM-10PM Sun: $0.70/HR; 10PM-8AM Mon-Sun: $1 flat rate,38.03639,-78.50754,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astronomy Building/OHill/First Year Residence,W6 Permit required 8AM - 5PM Mon-Fri,38.03525,-78.51605,1,W6,1,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Scott Stadium-Engineering School,T4/E3 Permit required 8AM - 5PM Mon-Fri,38.0311,-78.53311,1,T4;E3,0,1,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Upper Hereford,S12/S9 Permit required 8AM - 5PM Mon-Fri,38.03114,-78.51928,1,S12;S9,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Lower Hereford/Runk,S9/S16 Permit required 8AM - 5PM Mon-Fri,38.02871,-78.51977,1,S9;S16,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Hancock Dr,S17 Permit required 24/hrs,38.03522,-78.51244,1,S17,0,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Maintenance Parking Leake Dr,E1 Permit required 24/hrs,38.03637,-78.5149,1,E1,0,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Zehmer Hall Parking,Z* Permit required 24/hrs,38.03866,-78.51702,1,Z*,0,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Scott Stadium-Alderman Rd,S6/Red Permit Required 8AM-5PM Mon-Fri,38.03012,-78.51504,1,S6;Red,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Alderman Rd @ Stadium Rd,S6 Permit Required 8AM-5PM Mon-Fri,38.02925,-78.51598,1,S6;Red,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Faulkner residences,S4 Permit Required all times,38.04902,-78.51293,1,S4,0,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Copeley Hill residences,S1 Permit Requied all times,38.05128,-78.51016,1,S1,0,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
North Grounds Gym,No pass required. Hourly rates 8AM-5PM Mon-Fri. Free otherwise.,38.0515,-78.51293,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darden D1 lot,D1 Permit required 8AM-5PM Mon-Fri,38.05131,-78.51505,1,D1,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Darden D10 garage,D10 Permit required 8AM-5PM Mon-Fri,38.05371,-78.51383,1,D10,0,1,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Law School Lots,D2/D5/D22 Permit required 8AM-5PM Mon-Fri,38.05243,-78.51085,1,D2;D5;D22,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
John Paul Jones parking lot/garage,Blue Permit required 8AM-5PM Mon-Fri,38.04724,-78.50774,1,Blue,0,1,8,17,8,17,8,17,8,17,8,17,24,24,24,24
University Hall parking lot,Blue Permit required 8AM-5PM Mon-Fri,38.04498,-78.51012,1,Blue,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Culbreth Rd Garage,A9 Permit required 8AM-5PM Mon-Fri,38.0402,-78.5043,1,A9,0,1,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Madison Hall lot,A0 Permit required 8AM-5PM Mon-Fri,38.0372,-78.50282,1,A0,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Monroe Hall lot,C5 Permit required 8AM-5PM Mon-Fri,38.03452,-78.50612,1,C5,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Clark Hall lot,C1 Permit required 8AM-5PM Mon-Fri,38.03248,-78.50746,1,C1,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Student Health lot,M5/U5 Permit required 8AM-5PM Mon-Fri,38.03122,-78.50351,1,M5;U5,0,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Nursing School garage,N Permit required all times,38.03027,-78.50241,1,N,0,1,0,24,0,24,0,24,0,24,0,24,0,24,0,24
